,TARGET,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLBadDerogCnt,TLDel60Cnt24
149,1,0,0,0,7,0.0,7,158,17,0,0,3,7.0,23.0,2,0,3.0,5.0,3,2,5,2,4
150,1,0,0,0,0,,0,273,5,0,1,2,16.0,17.0,3,0,9.0,11.0,3,2,3,2,2
151,1,3,2,1,3,5.0,5,145,1,1,3,5,6.0,12.0,12,2,3.0,3.0,0,3,14,5,3
152,1,0,0,0,3,0.0,0,320,6,0,1,6,6.0,8.0,19,15,3.0,3.0,2,19,24,19,20
153,1,0,0,0,2,1.0,2,189,9,0,1,4,14.0,28.0,0,0,10.0,10.0,2,0,1,0,1
154,1,2,2,0,9,0.0,7,49,5,0,6,10,11.0,15.0,0,0,4.0,7.0,0,0,0,1,0
155,1,3,2,0,8,1.0,4,290,5,0,1,1,3.0,7.0,1,1,1.0,1.0,1,1,6,2,1
156,1,0,0,0,3,1.0,0,170,5,0,1,4,5.0,14.0,0,0,2.0,2.0,2,1,2,1,2
157,1,0,0,0,6,1.0,7,76,11,0,1,5,5.0,14.0,1,0,3.0,4.0,0,0,2,0,0
158,1,1,0,0,2,5.0,2,148,7,0,1,4,6.0,6.0,3,1,4.0,5.0,0,1,3,1,1
159,1,2,1,1,3,2.0,12,109,8,0,4,6,3.0,5.0,8,3,2.0,2.0,3,3,10,4,5
160,1,0,0,0,2,2.0,7,139,14,0,0,2,12.0,19.0,0,0,4.0,5.0,3,0,2,0,1
161,1,0,0,0,3,1.0,2,99,20,0,0,3,8.0,14.0,1,0,3.0,4.0,0,0,2,0,0
162,1,4,1,0,0,11.0,2,219,10,0,1,1,3.0,1.0,1,0,0.0,0.0,2,1,3,2,2
163,1,5,5,0,8,1.0,10,294,3,1,4,9,9.0,28.0,0,0,4.0,6.0,2,0,4,3,1
164,1,0,0,0,2,5.0,3,221,22,0,0,1,14.0,22.0,0,0,6.0,12.0,1,0,0,0,0
165,1,2,1,1,4,2.0,4,212,7,0,1,3,5.0,3.0,5,2,4.0,4.0,2,2,6,3,3
166,1,0,0,0,4,1.0,7,145,4,0,2,4,8.0,11.0,0,0,4.0,6.0,0,0,0,0,0
167,1,20,1,1,2,1.0,7,60,58,0,0,0,0.0,,3,1,0.0,0.0,8,1,3,6,1
168,1,2,2,0,9,0.0,4,353,9,0,1,3,10.0,18.0,0,0,5.0,6.0,2,0,2,2,1
169,1,0,0,0,2,1.0,3,120,10,0,1,2,8.0,12.0,0,0,4.0,5.0,0,0,0,0,0
170,1,1,0,1,5,1.0,5,47,8,0,3,5,5.0,7.0,2,2,3.0,4.0,0,2,2,2,2
171,1,5,5,0,0,12.0,3,11,11,0,1,1,1.0,1.0,0,0,,,0,0,0,1,0
172,1,1,0,1,10,0.0,6,134,17,0,0,2,6.0,8.0,9,2,3.0,4.0,0,2,9,2,2
173,1,1,1,0,9,0.0,14,119,4,0,2,3,4.0,14.0,3,0,1.0,3.0,0,1,3,2,1
174,1,0,0,0,6,0.0,8,174,3,1,4,9,18.0,24.0,1,0,13.0,15.0,3,0,1,0,1
175,1,2,2,0,7,1.0,12,135,5,0,5,8,2.0,11.0,2,2,2.0,2.0,0,2,2,3,2
176,1,1,0,1,8,0.0,12,143,4,0,1,1,2.0,3.0,5,1,1.0,1.0,0,1,7,1,1
177,1,1,0,0,4,0.0,3,166,40,0,0,0,4.0,10.0,1,1,2.0,2.0,3,1,3,2,2
178,1,0,0,0,5,1.0,22,187,3,1,4,6,10.0,19.0,4,1,6.0,7.0,3,3,6,3,4
179,1,0,0,0,1,4.0,3,299,6,0,3,5,16.0,33.0,0,0,6.0,10.0,3,0,1,0,0
180,1,0,0,0,3,1.0,6,227,6,0,6,12,14.0,26.0,0,0,9.0,10.0,3,0,1,0,1
181,1,0,0,0,3,1.0,2,213,24,0,0,1,6.0,7.0,0,0,3.0,3.0,3,0,3,0,0
182,1,0,0,0,3,1.0,0,178,25,0,0,0,7.0,10.0,1,0,3.0,4.0,3,2,4,2,2
183,1,0,0,0,0,8.0,1,442,7,0,1,3,18.0,34.0,0,0,13.0,16.0,3,1,3,1,2
184,1,9,9,0,0,7.0,2,18,6,0,1,3,2.0,2.0,0,0,2.0,2.0,0,0,0,7,0
185,1,1,1,0,3,1.0,2,298,3,1,3,4,6.0,11.0,3,0,1.0,1.0,0,1,5,1,1
186,1,0,0,0,10,1.0,3,72,11,0,1,1,5.0,2.0,7,4,1.0,3.0,0,4,7,4,4
187,1,1,0,0,3,0.0,2,107,4,0,1,2,4.0,6.0,3,1,1.0,2.0,3,1,5,1,1
188,1,0,0,0,0,7.0,9,122,3,2,5,6,10.0,19.0,4,2,5.0,8.0,0,2,5,2,2
189,1,0,0,0,0,20.0,1,112,20,0,0,1,5.0,10.0,0,0,1.0,1.0,2,0,1,0,1
190,1,0,0,0,3,0.0,3,107,2,1,3,8,13.0,19.0,0,0,1.0,3.0,0,0,0,0,0
191,1,2,2,0,5,1.0,8,235,10,0,1,1,12.0,19.0,2,1,5.0,5.0,3,2,5,3,5
192,1,6,0,0,3,3.0,6,109,5,0,5,6,6.0,7.0,2,2,4.0,5.0,0,3,3,8,3
193,1,1,1,0,2,0.0,3,74,19,0,0,1,9.0,9.0,1,0,7.0,8.0,0,0,1,1,0
194,1,0,0,0,0,,0,273,3,1,1,1,5.0,3.0,5,5,3.0,3.0,0,5,5,5,5
195,1,2,1,1,0,15.0,1,129,14,0,0,4,7.0,8.0,0,0,4.0,4.0,1,0,0,1,0
196,1,1,1,0,4,0.0,3,402,2,1,3,3,3.0,2.0,2,1,1.0,1.0,3,2,5,2,4
197,1,0,0,0,2,1.0,2,48,5,0,3,6,4.0,6.0,1,0,1.0,1.0,3,0,2,0,2
198,1,4,2,1,3,1.0,4,444,17,0,0,1,6.0,9.0,10,7,3.0,3.0,0,7,13,7,7
199,1,1,1,0,18,0.0,11,234,2,1,1,3,3.0,15.0,2,0,1.0,3.0,3,1,5,1,1
200,1,0,0,0,10,1.0,29,138,2,4,14,25,18.0,30.0,2,0,14.0,15.0,2,2,3,2,3
201,1,1,0,1,1,1.0,1,149,7,0,2,2,6.0,12.0,9,1,4.0,4.0,0,1,11,1,1
202,1,0,0,0,0,7.0,1,27,17,0,0,2,2.0,1.0,1,1,0.0,0.0,0,2,2,2,2
203,1,0,0,0,0,16.0,0,143,2,1,4,5,10.0,15.0,1,0,3.0,4.0,0,1,1,1,1
204,1,0,0,0,6,1.0,5,226,3,1,6,9,15.0,37.0,0,0,9.0,9.0,3,0,2,0,1
205,1,0,0,0,0,,0,128,41,0,0,0,4.0,14.0,0,0,2.0,2.0,2,0,1,0,1
206,1,5,4,0,13,0.0,11,241,4,0,3,5,9.0,18.0,3,2,4.0,4.0,3,3,5,6,3
207,1,2,1,0,1,1.0,1,125,23,0,0,2,7.0,14.0,2,2,4.0,5.0,2,2,5,4,3
208,1,0,0,0,4,1.0,1,99,11,0,2,3,3.0,6.0,3,0,1.0,1.0,0,0,4,0,0
209,1,3,3,0,7,1.0,22,368,6,0,3,4,4.0,12.0,6,0,2.0,2.0,0,0,8,0,0
210,1,2,2,0,7,0.0,11,212,2,1,4,6,5.0,9.0,0,0,3.0,4.0,2,0,3,1,1
211,1,1,0,1,2,3.0,7,290,10,0,2,5,9.0,18.0,12,11,2.0,3.0,0,12,12,13,12
212,1,0,0,0,1,6.0,1,142,2,1,2,2,2.0,0.0,2,0,1.0,1.0,0,1,2,1,1
213,1,2,0,1,7,1.0,7,93,2,1,1,3,6.0,8.0,6,2,3.0,6.0,0,2,6,2,2
214,1,2,0,1,10,0.0,5,30,1,1,4,5,6.0,5.0,0,0,4.0,4.0,0,0,0,0,0
215,1,1,0,0,9,4.0,4,18,12,0,1,2,0.0,2.0,0,0,,,2,0,1,0,1
216,1,3,0,1,7,0.0,5,113,11,0,1,2,5.0,6.0,5,1,3.0,4.0,0,1,5,1,1
217,1,0,0,0,1,3.0,0,196,36,0,0,0,5.0,7.0,1,0,2.0,2.0,1,1,1,1,1
218,1,0,0,0,0,20.0,2,106,20,0,0,1,6.0,13.0,0,0,1.0,4.0,3,0,2,0,1
219,1,0,0,0,3,0.0,2,117,41,0,0,0,3.0,8.0,5,3,3.0,3.0,2,6,9,6,7
220,1,1,1,0,7,0.0,6,53,5,0,2,4,10.0,12.0,1,0,6.0,8.0,0,0,1,1,0
221,1,0,0,0,0,21.0,0,330,8,0,1,2,22.0,35.0,0,0,13.0,14.0,3,0,1,0,1
222,1,0,0,0,3,1.0,9,105,36,0,0,0,8.0,23.0,0,0,3.0,3.0,3,0,2,0,1
223,1,0,0,0,5,0.0,5,85,8,0,2,4,9.0,15.0,1,1,2.0,3.0,0,1,3,1,1
224,1,2,2,0,3,1.0,3,220,12,0,2,11,15.0,14.0,1,0,6.0,10.0,3,0,2,2,2
225,1,5,3,0,5,1.0,3,244,3,1,2,2,5.0,6.0,4,2,4.0,4.0,2,3,7,4,4
226,1,0,0,0,4,1.0,0,145,77,0,0,0,2.0,3.0,3,1,0.0,0.0,3,1,4,1,1
227,1,0,0,0,0,24.0,0,194,50,0,0,0,2.0,7.0,7,1,0.0,0.0,3,4,11,4,7
228,1,7,4,1,6,1.0,6,65,30,0,0,0,1.0,1.0,3,1,0.0,0.0,0,1,3,6,1
229,1,2,1,0,8,1.0,2,14,5,0,5,8,8.0,8.0,0,0,7.0,7.0,0,0,0,2,0
230,1,0,0,0,22,1.0,19,343,7,0,1,1,6.0,12.0,9,4,4.0,5.0,0,7,9,7,7
231,1,5,2,1,4,2.0,4,283,16,0,0,2,6.0,5.0,7,3,5.0,6.0,2,6,11,9,7
232,1,0,0,0,0,7.0,0,160,24,0,0,1,4.0,5.0,5,2,3.0,3.0,3,4,8,4,6
233,1,11,11,0,2,0.0,4,40,40,0,0,0,,0.0,1,0,,,0,1,1,7,1
234,1,0,0,0,0,16.0,2,174,14,0,0,7,9.0,22.0,0,0,5.0,5.0,0,0,0,0,0
